id,del,var.del,wt.del,g,var.g,wt.g,d_c_Gr_Imputed,timeloss,lengtmt,risk,female,deathspous,recruit,practrain,grp.ind,n.sess,pub,assign,grp.ind.dummy,assign.f,rec.f,risk.f
9,1.436339564,0.25205326,3.967415453,-2.123543932,0.153163267,6.528980624,-0.01809446,4,10,1,100,100,2,1,2,3,1,1,-0.5,rand,ref,low
79a,0.288707889,0.024924319,40.12145728,-0.72938063,0.012213969,81.87346799,-0.430600077,4,9,1,0,NA,3,1,2,10,1,1,-0.5,rand,ad,low
79b,0.195987204,0.051708193,19.33929515,-0.53802046,0.023481703,42.58634955,-0.430600077,4,9,1,0,NA,3,1,2,10,1,1,-0.5,rand,ad,low
86a,0.020938441,0.014460167,69.15549454,-0.243368872,0.005628579,177.6647356,-0.162471426,4,12,2,65,0,4,1,2,10,1,1,-0.5,rand,solicit,hi-sub
86b,0.340557775,0.045831484,21.81906241,-0.319409456,0.020019261,49.95189393,-0.162471426,4,12,2,65,0,4,1,2,10,1,1,-0.5,rand,solicit,hi-sub
113,0.345310127,0.06772647,14.76527565,-0.467005909,0.035489512,28.17733845,-0.067595134,7,12,1,88,100,1,1,2,14,1,2,-0.5,!rand,self,low
144,0,0.108823529,9.189189189,NA,NA,NA,-0.224347269,57,12,1,50,0,2,1,2,7,1,1,-0.5,rand,ref,low
11,0.720440315,0.013156919,76.00563627,-0.825160955,0.006456919,154.8726258,-0.10472064,99,9,3,79,11,2,1,2,12,1,2,-0.5,!rand,ref,hi-obj
16,0.915530592,0.039613537,25.24389551,-1.061501794,0.032913537,30.38263516,-0.145971201,10,6,3,69,0,2,1,1,12,1,0,0.5,1-grp,ref,hi-obj
27,2.073404896,0.365026865,2.739524388,-2.273001828,0.358326865,2.790748047,-0.199596932,99,6,3,56,NA,2,1,1,24,1,0,0.5,1-grp,ref,hi-obj
30a,1.532178379,0.058806003,17.00506654,-1.599773513,0.052106003,19.19164656,-0.067595134,39,6,3,88,27,2,1,1,16,1,1,0.5,rand,ref,hi-obj
30b,0.97740534,0.043076776,23.21436478,-1.045000474,0.036376776,27.49006647,-0.067595134,39,6,3,88,27,2,1,1,16,1,1,0.5,rand,ref,hi-obj
36,0.734023466,0.046938687,21.304388,-0.958370735,0.040238687,24.85170552,-0.224347269,12,6,3,50,0,2,1,3,16,1,0,-0.5,1-grp,ref,hi-obj
56,0.360026623,0.012471907,80.18020019,-0.464747263,0.005771907,173.2529647,-0.10472064,11,9,2,79,100,3,1,2,8,1,1,-0.5,rand,ad,hi-sub
63a,0.763364813,0.019654301,50.87944873,-0.876335565,0.012954301,77.19443913,-0.112970752,16,9,3,77,14,2,1,2,12,1,1,-0.5,rand,ref,hi-obj
63b,0.661852679,0.018901743,52.90517388,-0.774823431,0.012201743,81.95550423,-0.112970752,16,9,3,77,14,2,1,2,12,1,1,-0.5,rand,ref,hi-obj
91a,1.296181818,0.113111686,8.840819528,-1.106181818,0.085963686,11.63281904,-0.117095808,16,6,2,76,100,4,1,1,7,1,1,0.5,rand,solicit,hi-sub
91b,-0.402222222,0.130035112,7.690230592,-0.017777778,0.100015802,9.998420003,-0.117095808,16,6,2,76,100,4,1,1,7,1,1,0.5,rand,solicit,hi-sub
91c,0.255441505,0.054228534,18.44047622,-0.372537313,0.047528534,21.03999233,-0.117095808,16,6,2,76,100,4,1,1,7,1,1,0.5,rand,solicit,hi-sub
91d,0.138904192,0.17194288,5.815884903,-0.256,0.16524288,6.051697961,-0.117095808,16,6,2,76,100,4,1,1,7,1,1,0.5,rand,solicit,hi-sub
94a,2.009983703,0.073187724,13.66349354,-2.077578837,0.066487724,15.04037036,-0.067595134,36,12,1,88,59,2,1,2,20,1,2,-0.5,!rand,ref,low
95,0.260733955,0.061997613,16.12965322,-0.460330887,0.055297613,18.08396318,-0.199596932,6,6,2,56,0,3,2,2,8,1,2,-0.5,!rand,ad,hi-sub
151,-0.080294113,0.048783766,20.49862264,-0.278248465,0.023741968,42.11950737,-0.228472325,5,9,1,49,0,2,1,2,8,3,1,-0.5,rand,ref,low
152,0.089949288,0.083501893,11.97577637,-1.003973357,0.100265417,9.973528585,-0.121220864,4,9,1,75,100,2,2,2,5,3,2,-0.5,!rand,ref,low
153,0,0.09,11.11111111,0,0.04,25,-0.100595584,7,10,1,80,100,3,2,1,6,3,1,0.5,rand,ad,low
163,1.003235278,0.020293553,49.27673335,-0.847714907,0.011518208,86.81906074,-0.05109491,4,12,1,92,58,3,2,2,8,3,1,-0.5,rand,ad,low
15,1.413968348,0.039685858,25.19789291,-1.539314268,0.032985858,30.3160221,-0.125345921,9,4,3,74,28,1,1,1,12,1,2,0.5,!rand,self,hi-obj
40a,0.166177102,0.023630389,42.31838862,-0.448275157,0.016930389,59.06538704,-0.282098055,12,9,2,36,45,3,1,2,12,1,1,-0.5,rand,ad,hi-sub
40b,-0.036883031,0.016171864,61.83579106,-0.245215024,0.009471864,105.5758408,-0.282098055,12,9,2,36,45,3,1,2,12,1,1,-0.5,rand,ad,hi-sub
25,0.128017487,0.012965205,77.12951535,-0.401865429,0.006265205,159.6116894,-0.273847943,12,9,2,38,46,3,1,2,12,1,1,-0.5,rand,ad,hi-sub
7,0.688915685,0.179061656,5.584668547,NA,NA,NA,-0.240847493,18,8,1,46,0,2,1,2,8,1,0,-0.5,1-grp,ref,low
94b,1.247428306,0.131009555,7.633031046,-1.31502344,0.124309555,8.044433918,-0.067595134,36,12,1,88,59,2,1,2,20,1,2,-0.5,!rand,ref,low
